Gene ID,Gene Name,Col.0,pp7l.1
AT2G17720,P4H5,183.47352591638037,193.41512549275404
AT2G17723,NA,0,0
AT2G17730,NIP2,52.95374121976832,68.15580612601809
AT2G17740,NA,0,0
AT2G17750,NIP1,0,0
AT2G17760,APF1,224.49402967817272,263.41298043298883
AT2G17770,ATBZIP27,0.7458273411234975,3.6840976284334106
AT2G17780,MCA2,90.2451082759432,109.60190444589396
AT2G17785,NA,0,0
AT2G17787,NA,26.849784280445906,31.31482984168399
AT2G17790,VPS35A,183.47352591638037,171.31053972215358
AT2G17800,ARAC1,137.97805810784703,160.25824683685337
AT2G17810,NA,0.7458273411234975,0
AT2G17820,AHK1,114.11158319189511,113.28600207432737
AT2G17830,NA,27.595611621569404,29.472781027467285
AT2G17840,ERD7,453.4630234030864,628.1386456478965
AT2G17845,NA,0.7458273411234975,2.7630732213250577
AT2G17850,NA,2.237482023370492,10.13126847819188
AT2G17860,NA,0,0
AT2G17870,CSP3,35.05388503280438,19.341512549275407
AT2G17880,NA,125.29899330874757,206.309467192271
AT2G17890,CPK16,3.729136705617487,4.605122035541763
AT2G17900,SDG37,20.883165551457928,28.551756620358933
AT2G17905,NA,0,0
AT2G17920,NA,4.474964046740984,4.605122035541763
AT2G17930,NA,657.8197148709247,587.613571735129
AT2G17940,NA,0,0
AT2G17950,WUS,1.491654682246995,0.9210244071083526
AT2G17960,NA,0,0
AT2G17970,ALKBH9B,32.816403009433884,32.23585424879234
AT2G17972,NA,0,0
AT2G17975,NA,14.17071948134645,25.788683399033875
AT2G17980,SLY1,193.16928135098584,209.07254041359604
AT2G17990,NA,67.87028804223827,52.4983912051761
AT2G18000,TAF14,11.93323745797596,7.368195256866821
AT2G18010,SAUR10,8.204100752358471,4.605122035541763
AT2G18020,RPL8A,2473.909290506641,3167.4029360456248
AT2G18025,NA,0,0
AT2G18030,MSRA5,88.00762625257269,114.20702648143573
AT2G18040,PIN1,226.7315117015432,151.96902717287819
AT2G18050,HIS1-3,4.474964046740984,14.736390513733642
AT2G18060,NAC037,6.7124460701114765,9.210244071083526
AT2G18070,NA,0,0
AT2G18080,EDA2,0,0
AT2G18090,NA,266.2603607810886,274.46527331828906
AT2G18100,NA,32.07057566831039,30.393805434575636
AT2G18110,NA,275.21028887457055,350.91029910828235
AT2G18120,SRS4,2.237482023370492,0
AT2G18130,PAP11,0,0
AT2G18140,PER14,0,0
AT2G18150,PER15,30.578920986063395,22.104585770600462
AT2G18160,BZIP2,868.143025067751,1423.9037333895133
AT2G18170,MPK7,149.911295565823,194.33614989986242
AT2G18180,SFH10,1.491654682246995,0
AT2G18190,NA,1.491654682246995,0
AT2G18193,NA,30.578920986063395,23.94663458481717
AT2G18196,HIPP30,16.408201504716942,27.630732213250578
AT2G18200,NA,2.237482023370492,2.7630732213250577
AT2G18210,NA,8.204100752358471,41.446098319875865
AT2G18220,NA,22.374820233704924,33.1568786559007
AT2G18230,PPA2,51.46208653752132,41.446098319875865
AT2G18240,NA,37.29136705617487,38.683025098550814
AT2G18245,NA,71.59942474785575,64.47170849758469
AT2G18250,COAD,11.187410116852462,24.86765899192552
AT2G18260,SYP112,4.474964046740984,6.447170849758469
AT2G18270,NA,0,0
AT2G18280,TULP2,363.21791512714327,392.35639742815823
AT2G18290,APC10,95.46589966380768,88.41834308240185
AT2G18300,NA,436.30899455724597,479.85371610345175
AT2G18310,NA,0,0
AT2G18320,NA,0.7458273411234975,1.8420488142167053
AT2G18328,RL4,36.545539715051376,68.15580612601809
AT2G18330,NA,38.03719439729837,24.86765899192552
AT2G18340,NA,2.98330936449399,9.210244071083526
AT2G18350,ZHD6,50.71625919639782,87.4973186752935
AT2G18360,NA,24.612302257075417,17.4994637350587
AT2G18370,LTP8,61.15784197212679,138.1536610662529
AT2G18380,GATA20,21.628992892581426,24.86765899192552
AT2G18390,ARL2,40.27467642066886,29.472781027467285
AT2G18400,NA,75.32856145347324,93.02346511794362
AT2G18410,ELP5,26.849784280445906,41.446098319875865
AT2G18420,GASA11,0,3.6840976284334106
AT2G18440,GUT15,1073.2455438767129,2103.6197458354773
AT2G18450,SDH1-2,10.441582775728964,12.894341699516938
AT2G18460,LCV3,0,0
AT2G18465,NA,27.595611621569404,30.393805434575636
AT2G18470,PERK4,2.237482023370492,4.605122035541763
AT2G18480,PLT3,5.220791387864482,11.052292885300231
AT2G18490,NA,35.799712373927875,38.683025098550814
AT2G18500,OFP7,25.35812959819891,27.630732213250578
AT2G18510,emb2444,91.73676295819018,71.83990375445151
AT2G18520,NA,8.949928093481969,5.5261464426501155
AT2G18530,NA,0,0
AT2G18540,NA,2.237482023370492,0
AT2G18550,ATHB-21,0,0
AT2G18560,NA,52.95374121976832,35.919951877225756
AT2G18570,UGT72D1,14.17071948134645,3.6840976284334106
AT2G18590,NA,0.7458273411234975,0
AT2G18600,RCE2,11.93323745797596,7.368195256866821
AT2G18620,NA,13.424892140222953,11.973317292408584
AT2G18630,NA,86.5159715703257,93.94448952505196
AT2G18640,GGPP4,2.98330936449399,4.605122035541763
AT2G18650,ATL49,25.35812959819891,34.077903063009046
AT2G18660,EGC2,0.7458273411234975,1.8420488142167053
AT2G18670,ATL56,79.05769815909073,110.52292885300231
AT2G18680,NA,3.729136705617487,10.13126847819188
AT2G18685,NA,0,0
AT2G18690,NA,134.24892140222954,179.59975938612877
AT2G18700,TPS11,485.53359907139685,548.9305466365781
AT2G18710,SCY1,507.16259196397823,494.59010661718537
AT2G18720,NA,2.98330936449399,0
AT2G18721,NA,0,0
AT2G18730,DGK3,229.71482106603722,247.75556551214686
AT2G18735,NA,38.03719439729837,104.07575800324385
AT2G18740,NA,134.99474874335303,174.994637350587
AT2G18750,CBP60C,129.02813001436505,156.57414920841995
AT2G18760,CHR8,27.595611621569404,31.31482984168399
AT2G18770,NA,52.20791387864482,52.4983912051761
AT2G18780,NA,14.916546822469948,23.94663458481717
AT2G18790,PHYB,209.57748285570278,159.337222429745
AT2G18800,XTH21,4.474964046740984,12.894341699516938
AT2G18810,NA,0.7458273411234975,0
AT2G18830,NA,0,0
AT2G18840,NA,78.31187081796723,69.9978549402348
AT2G18850,NA,32.816403009433884,34.077903063009046
AT2G18860,NA,61.15784197212679,57.10351324071787
AT2G18870,VEL3,0,0
AT2G18876,NA,46.98712249078034,61.70863527625963
AT2G18880,VIL3,0,0
AT2G18890,NA,90.2451082759432,156.57414920841995
AT2G18900,NA,90.99093561706668,72.76092816155986
AT2G18910,NA,121.56985660313008,151.96902717287819
AT2G18915,ADO2,78.31187081796723,62.62965968336798
AT2G18917,NA,0,0
AT2G18920,NA,0,0
AT2G18938,NA,6.7124460701114765,1.8420488142167053
AT2G18940,NA,99.19503636942515,66.3137573118014
AT2G18950,HPT1,89.4992809348197,111.44395326011067
AT2G18960,AHA1,2582.8000823106718,1775.7350569049038
AT2G18969,NA,0.7458273411234975,0
AT2G18970,NA,1.491654682246995,0
AT2G18980,PER16,255.07295066423612,297.4908834959979
AT2G18990,TXND9,49.97043185527433,32.23585424879234
AT2G19000,NA,0,0
AT2G19010,NA,0,0
AT2G19020,RALFL10,0,0
AT2G19030,RALFL11,0,0
AT2G19040,RALFL12,0,0
AT2G19045,RALFL13,0,0
AT2G19050,NA,2.237482023370492,4.605122035541763
AT2G19060,NA,7.458273411234974,10.13126847819188
AT2G19070,SHT,0,0
AT2G19080,MTX1,69.36194272448526,56.18248883360951
AT2G19090,NA,36.545539715051376,26.709707806142227
AT2G19110,HMA4,126.79064799099456,123.41727055251926
AT2G19120,NA,21.628992892581426,19.341512549275407
